,date,close,day_prev_close,trend_3_day
1611,2015-10-26,115.28,119.08,1
1612,2015-10-27,114.55,115.28,1
1613,2015-10-28,119.27,114.55,-1
1614,2015-10-29,120.53,119.27,-1
1615,2015-10-30,119.5,120.53,1
1616,2015-11-02,121.18,119.5,1
1617,2015-11-03,122.57,121.18,1
1618,2015-11-04,122.0,122.57,1
1619,2015-11-05,120.92,122.0,1
1620,2015-11-06,121.06,120.92,-1
1621,2015-11-09,120.57,121.06,-1
1622,2015-11-10,116.77,120.57,-1
1623,2015-11-11,116.11,116.77,-1
1624,2015-11-12,115.72,116.11,-1
1625,2015-11-13,112.34,115.72,-1
1626,2015-11-16,114.175,112.34,-1
1627,2015-11-17,113.69,114.175,-1
1628,2015-11-18,117.29,113.69,-1
1629,2015-11-19,118.78,117.29,1
1630,2015-11-20,119.3,118.78,1
1631,2015-11-23,117.75,119.3,1
1632,2015-11-24,118.88,117.75,1
1633,2015-11-25,118.03,118.88,1
1634,2015-11-27,117.81,118.03,-1
1635,2015-11-30,118.3,117.81,-1
1636,2015-12-01,117.34,118.3,-1
1637,2015-12-02,116.28,117.34,-1
1638,2015-12-03,115.2,116.28,-1
1639,2015-12-04,119.03,115.2,-1
1640,2015-12-07,118.28,119.03,-1
1641,2015-12-08,118.23,118.28,-1
1642,2015-12-09,115.62,118.23,-1
1643,2015-12-10,116.17,115.62,-1
1644,2015-12-11,113.18,116.17,-1
1645,2015-12-14,112.48,113.18,-1
1646,2015-12-15,110.49,112.48,-1
1647,2015-12-16,111.34,110.49,-1
1648,2015-12-17,108.98,111.34,-1
1649,2015-12-18,106.03,108.98,-1
1650,2015-12-21,107.33,106.03,-1
1651,2015-12-22,107.23,107.33,-1
1652,2015-12-23,108.61,107.23,-1
1653,2015-12-24,108.03,108.61,1
1654,2015-12-28,106.82,108.03,-1
1655,2015-12-29,108.74,106.82,-1
1656,2015-12-30,107.32,108.74,-1
1657,2015-12-31,105.26,107.32,-1
1658,2016-01-04,105.35,105.26,-1
1659,2016-01-05,102.71,105.35,-1
1660,2016-01-06,100.7,102.71,-1
1661,2016-01-07,96.45,100.7,-1
1662,2016-01-08,96.96,96.45,-1
1663,2016-01-11,98.53,96.96,-1
1664,2016-01-12,99.96,98.53,1
1665,2016-01-13,97.39,99.96,1
1666,2016-01-14,99.52,97.39,1
1667,2016-01-15,97.13,99.52,1
1668,2016-01-19,96.66,97.13,-1
1669,2016-01-20,96.79,96.66,-1
1670,2016-01-21,96.3,96.79,-1
1671,2016-01-22,101.42,96.3,-1
1672,2016-01-25,99.44,101.42,1
1673,2016-01-26,99.99,99.44,-1
1674,2016-01-27,93.42,99.99,1
1675,2016-01-28,94.09,93.42,-1
1676,2016-01-29,97.34,94.09,1
1677,2016-02-01,96.43,97.34,1
1678,2016-02-02,94.48,96.43,1
1679,2016-02-03,96.35,94.48,-1
1680,2016-02-04,96.6,96.35,-1
1681,2016-02-05,94.02,96.6,1
1682,2016-02-08,95.01,94.02,1
1683,2016-02-09,94.99,95.01,1
1684,2016-02-10,94.27,94.99,-1
1685,2016-02-11,93.7,94.27,-1
1686,2016-02-12,93.99,93.7,-1
1687,2016-02-16,96.64,93.99,-1
1688,2016-02-17,98.12,96.64,1
1689,2016-02-18,96.26,98.12,1
1690,2016-02-19,96.04,96.26,1
1691,2016-02-22,96.88,96.04,-1
1692,2016-02-23,94.69,96.88,-1
1693,2016-02-24,96.1,94.69,-1
1694,2016-02-25,96.76,96.1,1
1695,2016-02-26,96.91,96.76,1
1696,2016-02-29,96.69,96.91,1
1697,2016-03-01,100.53,96.69,1
1698,2016-03-02,100.75,100.53,1
1699,2016-03-03,101.5,100.75,1
1700,2016-03-04,103.01,101.5,1
1701,2016-03-07,101.87,103.01,1
1702,2016-03-08,101.03,101.87,1
1703,2016-03-09,101.12,101.03,-1
1704,2016-03-10,101.17,101.12,-1
1705,2016-03-11,102.26,101.17,1
1706,2016-03-14,102.52,102.26,1
1707,2016-03-15,104.58,102.52,1
1708,2016-03-16,105.97,104.58,1
1709,2016-03-17,105.8,105.97,1
1710,2016-03-18,105.92,105.8,1
1711,2016-03-21,105.91,105.92,1
1712,2016-03-22,106.72,105.91,-1
1713,2016-03-23,106.13,106.72,1
1714,2016-03-24,105.67,106.13,-1
1715,2016-03-28,105.19,105.67,-1
1716,2016-03-29,107.68,105.19,-1
1717,2016-03-30,109.56,107.68,-1
1718,2016-03-31,108.99,109.56,1
1719,2016-04-01,109.99,108.99,1
1720,2016-04-04,111.12,109.99,1
1721,2016-04-05,109.81,111.12,1
1722,2016-04-06,110.96,109.81,1
1723,2016-04-07,108.54,110.96,1
1724,2016-04-08,108.66,108.54,-1
1725,2016-04-11,109.02,108.66,1
1726,2016-04-12,110.44,109.02,1
1727,2016-04-13,112.04,110.44,1
1728,2016-04-14,112.1,112.04,1
1729,2016-04-15,109.85,112.1,1
1730,2016-04-18,107.48,109.85,1
1731,2016-04-19,106.91,107.48,-1
1732,2016-04-20,107.13,106.91,-1
1733,2016-04-21,105.97,107.13,-1
1734,2016-04-22,105.68,105.97,-1
1735,2016-04-25,105.08,105.68,-1
1736,2016-04-26,104.35,105.08,-1
1737,2016-04-27,97.82,104.35,-1
1738,2016-04-28,94.83,97.82,-1
1739,2016-04-29,93.74,94.83,-1
1740,2016-05-02,93.64,93.74,-1
1741,2016-05-03,95.18,93.64,-1
1742,2016-05-04,94.19,95.18,-1
1743,2016-05-05,93.24,94.19,-1
1744,2016-05-06,92.72,93.24,-1
1745,2016-05-09,92.79,92.72,-1
1746,2016-05-10,93.42,92.79,-1
1747,2016-05-11,92.51,93.42,1
1748,2016-05-12,90.34,92.51,1
1749,2016-05-13,90.52,90.34,-1
1750,2016-05-16,93.88,90.52,-1
1751,2016-05-17,93.49,93.88,1
1752,2016-05-18,94.56,93.49,1
1753,2016-05-19,94.2,94.56,1
1754,2016-05-20,95.22,94.2,-1
1755,2016-05-23,96.43,95.22,1
1756,2016-05-24,97.9,96.43,1
1757,2016-05-25,99.62,97.9,1
1758,2016-05-26,100.41,99.62,1
1759,2016-05-27,100.35,100.41,1
1760,2016-05-31,99.86,100.35,1
1761,2016-06-01,98.46,99.86,-1
1762,2016-06-02,97.72,98.46,-1
1763,2016-06-03,97.92,97.72,-1
1764,2016-06-06,98.63,97.92,-1
1765,2016-06-07,99.03,98.63,1
1766,2016-06-08,98.94,99.03,1
1767,2016-06-09,99.65,98.94,1
1768,2016-06-10,98.83,99.65,1
1769,2016-06-13,97.34,98.83,-1
1770,2016-06-14,97.46,97.34,-1
1771,2016-06-15,97.14,97.46,-1
1772,2016-06-16,97.55,97.14,-1
1773,2016-06-17,95.33,97.55,1
1774,2016-06-20,95.1,95.33,-1
1775,2016-06-21,95.91,95.1,-1
1776,2016-06-22,95.55,95.91,-1
1777,2016-06-23,96.1,95.55,-1
1778,2016-06-24,93.4,96.1,1
1779,2016-06-27,92.04,93.4,-1
1780,2016-06-28,93.59,92.04,-1
1781,2016-06-29,94.4,93.59,-1
1782,2016-06-30,95.6,94.4,1
1783,2016-07-01,95.89,95.6,1
1784,2016-07-05,94.99,95.89,1
1785,2016-07-06,95.53,94.99,1
1786,2016-07-07,95.94,95.53,1
1787,2016-07-08,96.68,95.94,1
1788,2016-07-11,96.98,96.68,1
1789,2016-07-12,97.42,96.98,1
1790,2016-07-13,96.87,97.42,1
1791,2016-07-14,98.79,96.87,1
1792,2016-07-15,98.78,98.79,1
1793,2016-07-18,99.83,98.78,-1
1794,2016-07-19,99.87,99.83,1
1795,2016-07-20,99.96,99.87,1
1796,2016-07-21,99.43,99.96,1
1797,2016-07-22,98.66,99.43,1
1798,2016-07-25,97.34,98.66,-1
1799,2016-07-26,96.67,97.34,-1
1800,2016-07-27,102.95,96.67,-1
1801,2016-07-28,104.34,102.95,-1
1802,2016-07-29,104.21,104.34,1
